id,zone,subzone,min_level,max_level,title,room_type,description_one,description_two,visible_one,visible_two,visible_three,exits
voidscar_0001,The Voidscar,The Voidscar Boundary,250,252,Riven Threshold,Voidscar Verge,"Here, a strip of gray-black gravel lies within dead scrub beneath a bruised sky. A mile marker has been melted into a twisted hook. Nearby, loose stones rise a handspan before dropping again.","The scene remains strained by unseen pressure beneath ashen afternoon light. The smell of rain that never reaches the ground follows every movement. Nearby, something heavy drags far beyond the ridge. The last intact watchtower stands far to the northwest.",Three iron warning stakes have been driven into the gravel.,A tethered pack lizard refuses to face the rift.,A strip of red cloth marks ground declared unsafe.,east|south
voidscar_0002,The Voidscar,The Voidscar Boundary,250,252,Silent Crossing,Voidscar Verge,"The route narrows at a narrow shelf of volcanic rock, within broken hills whose shadows point the wrong way. A barricade of fused shields blocks half the road. A moment later, the ground shivers as though something enormous turned below.","Under the colorless daylight, distance is difficult to judge. The atmosphere feels watchful and exposed. The air tastes of ozone and scorched leather, while distant thunder rolls beneath the earth. The Voidscar opens wider to the east.",An empty suit of frontier armor kneels beside the wall.,A pale scavenger bird watches from a broken spear.,A weather-stained evacuation notice hangs from a stone post.,east|south|west
voidscar_0003,The Voidscar,The Voidscar Boundary,250,252,Ashen Crossing,Voidscar Verge,"The route follows the edge of a cracked basalt road, with abandoned earthworks facing the rift on either side. An abandoned checkpoint crouches behind a shattered wall. At intervals, the horizon bends inward for a heartbeat.","Nothing here settles into ordinary stillness. Under the cold shine of the rift, the surroundings take on a severe clarity. The air carries metallic dust, and a cracked bell rings once without being touched. No living vegetation is visible ahead.",A bundle of unused bridge rope has hardened like stone.,A strip of red cloth marks ground declared unsafe.,A collapsed supply wagon rests beside the road.,east|south|southeast|west
voidscar_0004,The Voidscar,The Voidscar Boundary,250,252,Hollow Crossing,Voidscar Verge,"A break in shallow trenches filled with black dust reveals a road paved with fused stone. A watch platform overlooks the first visible fracture. Without warning, a distant silhouette repeats itself several paces apart.","The place feels like the edge of a held breath beneath a dim radiance without a source. A trace of cold ash and iron lingers in the air. Nearby, a warning chain knocks against stone. The safer western road has vanished behind the hills.",A scarred frontier warden studies the eastern horizon.,An empty suit of frontier armor kneels beside the wall.,Three iron warning stakes have been driven into the gravel.,east|south|southwest|west
voidscar_0005,The Voidscar,The Voidscar Boundary,250,252,Broken Crossing,Voidscar Verge,"A difficult path continues through low ridges split by violet seams and reaches a worn military causeway. Here, a line of warning obelisks leans toward the south. Elsewhere, a violet seam opens and seals without sound.","Under a thin violet glow, every hard edge becomes visible, leaving the place abandoned but not empty. The air smells of dry stone and old smoke. Nearby, wind whistles through arrow slits. Dark Expanse lies beyond the broken ridges.",A collapsed supply wagon rests beside the road.,A tethered pack lizard refuses to face the rift.,A strip of red cloth marks ground declared unsafe.,south|west
voidscar_0006,The Voidscar,The Voidscar Boundary,250,252,Sundered Road,Voidscar Verge,"The way opens onto a strip of gray-black gravel, with dead scrub beneath a bruised sky beyond. A mile marker has been melted into a twisted hook. Nearby, loose stones rise a handspan before dropping again.","There is no comfortable silence here. Beneath ashen afternoon light, the place feels strained by unseen pressure. The air smells of rain that never reaches the ground, and something heavy drags far beyond the ridge. The last intact watchtower stands far to the northwest.",A pale scavenger bird watches from a broken spear.,A strip of red cloth marks ground declared unsafe.,A collapsed supply wagon rests beside the road.,north|east|south
voidscar_0007,The Voidscar,The Voidscar Boundary,250,252,Riven Approach,Voidscar Verge,"The way reaches a narrow shelf of volcanic rock, one of the few stable places within broken hills whose shadows point the wrong way. A barricade of fused shields blocks half the road. Close by, the ground shivers as though something enormous turned below.","The surrounding scale makes the route feel watchful and exposed. Under the colorless daylight, every fracture stands exposed. A trace of cold ash and iron lingers while distant thunder rolls beneath the earth. The Voidscar opens wider to the east.",A cracked map case lies open beneath a slab of basalt.,A pale scavenger bird watches from a broken spear.,A strip of red cloth marks ground declared unsafe.,north|east|south|west
voidscar_0008,The Voidscar,The Voidscar Boundary,250,252,Silent Approach,Voidscar Verge,"The path emerges from abandoned earthworks facing the rift onto a cracked basalt road. An abandoned checkpoint crouches behind a shattered wall. Around it, the horizon bends inward for a heartbeat.","Even at rest, the area seems too still for open country. Under the cold shine of the rift, shifting highlights move across the ground. The air carries dry stone and old smoke, and a cracked bell rings once without being touched. No living vegetation is visible ahead.",A bundle of unused bridge rope has hardened like stone.,A locked field chest bears the seal of the final border company.,A scarred frontier warden studies the eastern horizon.,north|east|south|west
voidscar_0009,The Voidscar,The Voidscar Boundary,250,252,Black Verge,Voidscar Verge,"You stand where a road paved with fused stone meets shallow trenches filled with black dust. A watch platform overlooks the first visible fracture. Beyond it, a distant silhouette repeats itself several paces apart.","The scene remains like the edge of a held breath beneath a dim radiance without a source. The smell of rain that never reaches the ground follows every movement. Nearby, a warning chain knocks against stone. The safer western road has vanished behind the hills.",Three iron warning stakes have been driven into the gravel.,A scarred frontier warden studies the eastern horizon.,A weather-stained evacuation notice hangs from a stone post.,north|northeast|east|south|west
voidscar_0010,The Voidscar,The Voidscar Boundary,250,252,Fading Reach,Voidscar Verge,"You arrive at a worn military causeway after passing through low ridges split by violet seams. A line of warning obelisks leans toward the south. In the surrounding distance, a violet seam opens and seals without sound.","Under a thin violet glow, distance is difficult to judge. The atmosphere feels abandoned but not empty. The air tastes of ozone and scorched leather, while wind whistles through arrow slits. Dark Expanse lies beyond the broken ridges.",A locked field chest bears the seal of the final border company.,A weather-stained evacuation notice hangs from a stone post.,A scarred frontier warden studies the eastern horizon.,north|south|west
